name,cuisine,rating,delivery_time,distance,latitude,longitude,id
Yakizen - Boat Quay Conservation Area,"Japanese, BBQ & Grill, Salad, Zi Char, Sushi",N/A,35 mins , 1.4 km,N/A,N/A,4-C2EAC3VJEBUWL2?
Dondonburi - Lorong Telok,"Japanese, Noodles, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C3VWVT6ETNUVLT?
Beng Thin Hoon Kee - OCBC Centre,"Chinese, Dessert, Drinks & Beverages",N/A,30 mins , 1.4 km,N/A,N/A,4-C22KT6VFVYJHC6?
Hisingapore - High Street Centre,"Mart, Healthy, Snacks",N/A,N/A,N/A,N/A,N/A,4-C6CCKELHFGA2AA?
Medzs Bistro & Bar - High Street Centre,"Bakery & Cake, Breakfast & Brunch, Korean, Western",N/A,N/A,N/A,N/A,N/A,4-C6ABGB2YTT2UEJ?
Medzs Bistro & Bar - High Street Centre,"Bakery & Cake, Breakfast & Brunch, Korean, Western",N/A,N/A,N/A,N/A,N/A,4-C6ABGB2YTT2UEJ?
Flo Dining - High Street Plaza,"Japanese, Chicken, Vegetarian Friendly",N/A,25 mins , 1 km,N/A,N/A,4-C3UBCEDHTT6FCN?
Ricciotti - The Riverwalk,"Pasta, Pizza, Italian",N/A,35 mins , 1.1 km,N/A,N/A,SGDD08664?
Sinpopo Coffee - Funan,"Bakery & Cake, Local & Malaysian",N/A,25 mins , 0.5 km,N/A,N/A,4-CYW1LZNWMCNJVA?
Ramanico Delights - High Street Plaza,Chinese,N/A,25 mins , 0.9 km,N/A,N/A,4-C3JDL6TGDF3WNN?
Sushi Express - Funan,"Dessert, Sushi, Japanese, Group Friendly",N/A,25 mins , 0.5 km,N/A,N/A,4-CYXBCJDGNGE3EJ?
Souperstar - One Raffles Place,Salad,N/A,35 mins , 1.6 km,N/A,N/A,4-CZCUCRKVCAMYVA?
Tummy Delights - Raffles Place,"Chinese, Western, BBQ & Grill",N/A,N/A,N/A,N/A,N/A,4-C6BAGXDYGJDBET?
Peach Garden - OCBC Centre,"Chinese, Dim Sum, Seafood",N/A,30 mins , 1.4 km,N/A,N/A,4-CYLJWGMVVLNVTE?
Bombay Grill (Restaurant Delivery),Indian,N/A,119 mins , 1.2 km,N/A,N/A,4-CZCFEKMTA6TXRE?
Two Wings - North Bridge Road,"Western, Fried Chicken, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-CYLJWGEJRP3TJA?
Ramen Matsuri - 7 North Canal Road,"Japanese, Ramen, Noodles",N/A,30 mins , 1.3 km,N/A,N/A,SGDD00979?
Ange Bakes Keto Bakery & Cafe - High Street Plaza,"Mart, Bakery, Dessert, Local, Snacks",N/A,30 mins , 1 km,N/A,N/A,4-CZD1V32GJVEUCE?
O2 Bistro - Boat Quay Conservation Area,"Dessert, Chinese, Western",N/A,25 mins , 1.5 km,N/A,N/A,4-C2MUN4CTR2VXWE?
Qi Ji - Funan Mall,"Chinese, Halal, Local & Malaysian, Group Friendly",N/A,30 mins , 0.5 km,N/A,N/A,4-CYWKAUBUPEDVJX?
Naga House - Lorong Telok,"Coffee & Tea, Drinks & Beverages, Japanese Cuisine",N/A,25 mins , 1.4 km,N/A,N/A,4-C3NCCTNHRCDTRE?
Kazo Premium - Funan,"Bakery & Cake, Dessert, Cakes & Bakeries, Halal",N/A,25 mins , 0.5 km,N/A,N/A,4-C3E3EFD3G3VCTN?
Smooy - Funan,"Dessert, Ice Cream",N/A,30 mins , 0.5 km,N/A,N/A,4-C2TBC6CDV6UACE?
Men Men Don - Funan Mall,"Japanese, Noodles, Bento",N/A,25 mins , 0.5 km,N/A,N/A,4-CZC2A2DDGZNYBA?
Sukiya - Funan,"Japanese, Kids Friendly, Drinks & Beverages, Seafood, Halal",N/A,25 mins , 0.5 km,N/A,N/A,4-C3XTAN6WCCLJKA?
Sing Swee Kee Chicken Rice X Raffles Coffee - North Bridge Road,"Local & Malaysian, Coffee & Tea, Drinks & Beverages",N/A,N/A,N/A,N/A,N/A,4-C6AFLYKZANBBLN?
Beyond Fruit - Funan,"Drinks & Beverages, Dessert, Healthy",N/A,25 mins , 0.5 km,N/A,N/A,4-C4MZEJ51G64XGN?
Hill Street - Mix & Match Malls (Mart),"Convenience, Bakery & Pastries, Mart",N/A,N/A,N/A,N/A,N/A,4-C36HR8CFJCLHJE?
Wayang - Funan,"Indonesian, Seafood, Drinks & Beverages",N/A,25 mins , 0.5 km,N/A,N/A,4-C4CKR4AUCFLKAT?
